timestamp,experiment,method,dataset,k_shot,enable_thinking,seed,model,num_samples,avg_inference_sec,metric,score,precision,recall,parse_fail
2026-04-21T06:01:23,zero_shot_udst_duration,zero_shot,udst_duration,0,FALSE,42,Qwen/Qwen3-8B,1500,0.1025,f1,0.5798,0.5706,0.5893,0
2026-04-21T06:05:42,zero_shot_bigbench_date,zero_shot,bigbench_date,0,FALSE,42,Qwen/Qwen3-8B,369,0.547,accuracy,0.3496,0,,
2026-04-21T06:19:35,zero_shot_vlsp_date,zero_shot,vlsp_date,0,FALSE,42,Qwen/Qwen3-8B,1500,0.5553,accuracy,0.2653,0,,
2026-04-21T06:22:08,zero_shot_vlsp_duration,zero_shot,vlsp_duration,0,FALSE,42,Qwen/Qwen3-8B,1500,0.102,f1,0.7257,0.719,0.7325,0
2026-04-21T06:24:44,few_shot_udst_duration_k4,few_shot,udst_duration,4,FALSE,42,Qwen/Qwen3-8B,1500,0.1037,f1,0.4722,0.6432,0.373,0
2026-04-21T06:28:03,few_shot_bigbench_date_k3,few_shot,bigbench_date,3,FALSE,42,Qwen/Qwen3-8B,369,0.5386,accuracy,0.355,8,,
2026-04-21T06:41:58,few_shot_vlsp_date_k3,few_shot,vlsp_date,3,FALSE,42,Qwen/Qwen3-8B,1500,0.5567,accuracy,0.3653,0,,
2026-04-21T06:44:39,few_shot_vlsp_duration_k4,few_shot,vlsp_duration,4,FALSE,42,Qwen/Qwen3-8B,1500,0.1071,f1,0.7407,0.7292,0.7527,0
2026-04-21T15:06:18,dynamic_few_shot_vlsp_date_k3,dynamic_few_shot,vlsp_date,3,FALSE,42,Qwen/Qwen3-8B,1500,0.5626,accuracy,0.556,0,,
2026-04-21T15:09:39,dynamic_few_shot_vlsp_duration_k4,dynamic_few_shot,vlsp_duration,4,FALSE,42,Qwen/Qwen3-8B,1500,0.126,f1,0.7214,0.7935,0.6613,0
